Date,Revenue,MA_7,MA_30,Month_Name,Month_Number,Weekday,Weekend,Year,Month,Quarter,Week,Day,DayOfWeek,Lag_1,Lag_2,Lag_3,Lag_7,Lag_14,Lag_30,RollingMean7,RollingMean14,RollingMean30,RollingStd7,RollingStd30
2018-01-26,47998.6,43864.55285714286,42332.006666666675,January,1,Friday,0,2018,1,1,4,26,4,41966.65,45877.05,51429.16,40932.36,52789.91,25253.53,43864.55285714286,45645.90142857143,42332.006666666675,8673.280811991253,15631.270026656579
2018-01-27,34011.03,44069.69714285714,42812.035333333326,January,1,Saturday,1,2018,1,1,4,27,5,47998.6,41966.65,45877.05,32575.02,36574.33,19610.17,44069.69714285714,45462.80857142858,42812.035333333326,8373.555314002271,15122.266572379629
2018-01-28,31534.14,43916.39142857143,43089.166666666664,January,1,Sunday,1,2018,1,1,4,28,6,34011.03,47998.6,41966.65,32607.28,41220.98,23220.2,43916.39142857143,44770.89142857143,43089.166666666664,8624.453984752472,14824.08606293862
2018-01-29,48252.73,43009.908571428576,44117.960333333336,January,1,Monday,0,2018,1,1,5,29,0,31534.14,34011.03,47998.6,54598.11,57469.17,17388.92,43009.908571428576,44112.57428571429,44117.960333333336,7585.51230510588,14028.615479346628
2018-01-30,59152.82,44113.28857142857,45725.94266666667,January,1,Tuesday,0,2018,1,1,5,30,1,48252.73,31534.14,34011.03,51429.16,69517.92,10913.35,44113.28857142857,43372.21000000001,45725.94266666667,9366.85329933766,12802.467647417581
2018-01-31,44263.69,43882.80857142858,46872.60666666667,January,1,Wednesday,0,2018,1,1,5,31,2,59152.82,48252.73,31534.14,45877.05,45591.7,9863.77,43882.80857142858,43277.35214285714,46872.60666666667,9336.019524650006,10875.137355696223
2018-02-01,61649.19,46694.59999999999,47729.34333333334,February,2,Thursday,0,2018,2,1,5,1,3,44263.69,59152.82,48252.73,41966.65,40684.29,35947.090000000004,46694.59999999999,44774.844999999994,47729.34333333334,11398.808501461845,10996.473308866087
2018-02-02,45996.45,46408.57857142857,47831.435000000005,February,2,Friday,0,2018,2,1,5,2,4,61649.19,44263.69,59152.82,47998.6,40932.36,42933.7,46408.57857142857,45136.56571428571,47831.435000000005,11385.746580244373,10964.586214526273
2018-02-03,31100.69,45992.815714285716,47385.29266666667,February,2,Saturday,1,2018,2,1,5,3,5,45996.45,61649.19,44263.69,34011.03,32575.02,44484.96,45992.815714285716,45031.256428571425,47385.29266666667,11952.918624042999,11370.242496882156
2018-02-04,33213.44,46232.71571428572,47098.73266666666,February,2,Sunday,1,2018,2,1,5,4,6,31100.69,45996.45,61649.19,31534.14,32607.28,41810.24,46232.71571428572,45074.55357142857,47098.73266666666,11626.76408094677,11621.155968765497
2018-02-05,53904.96,47040.177142857145,47304.71200000001,February,2,Monday,0,2018,2,1,6,5,0,33213.44,31100.69,45996.45,48252.73,54598.11,47725.58,47040.177142857145,45025.042857142864,47304.71200000001,11981.296360847437,11687.225097370703
2018-02-06,52728.44,46122.408571428576,47685.844999999994,February,2,Tuesday,0,2018,2,1,6,6,1,53904.96,33213.44,31100.69,59152.82,51429.16,41294.45,46122.408571428576,45117.84857142857,47685.844999999994,11113.452045539812,11670.891271435494
2018-02-07,44468.13,46151.61428571429,47220.23100000001,February,2,Wednesday,0,2018,2,1,6,7,2,52728.44,53904.96,33213.44,44263.69,45877.05,58436.55,46151.61428571429,45017.21142857143,47220.23100000001,11108.020602691884,11504.652025990554
2018-02-08,39253.39,42952.21428571428,47059.84066666666,February,2,Thursday,0,2018,2,1,6,8,3,44468.13,52728.44,53904.96,61649.19,41966.65,44065.1,42952.21428571428,44823.40714285714,47059.84066666666,8907.73309186052,11583.426747246649
2018-02-09,40080.08,42107.01857142857,46225.251000000004,February,2,Friday,0,2018,2,1,6,9,4,39253.39,44468.13,52728.44,45996.45,47998.6,65117.77,42107.01857142857,44257.79857142857,46225.251000000004,8851.247997861428,11130.6187374274
2018-02-10,30288.85,41991.04142857143,44724.35199999999,February,2,Saturday,1,2018,2,1,6,10,5,40080.08,39253.39,44468.13,31100.69,34011.03,75315.82,41991.04142857143,43991.92857142857,44724.35199999999,9023.148301218333,10056.660631579618
